DateID,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,MonthName,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsYearStart,IsYearEnd
179,2013-12-04,2013,12,4,4,49,3,Wednesday,December,0,0,0,0,0,0,0
180,2013-12-05,2013,12,5,4,49,4,Thursday,December,0,0,0,0,0,0,0
181,2013-12-06,2013,12,6,4,49,5,Friday,December,0,0,0,0,0,0,0
182,2013-12-07,2013,12,7,4,49,6,Saturday,December,1,0,0,0,0,0,0
183,2013-12-08,2013,12,8,4,49,7,Sunday,December,1,0,0,0,0,0,0
184,2013-12-09,2013,12,9,4,50,1,Monday,December,0,0,0,0,0,0,0
185,2013-12-10,2013,12,10,4,50,2,Tuesday,December,0,0,0,0,0,0,0
186,2013-12-11,2013,12,11,4,50,3,Wednesday,December,0,0,0,0,0,0,0
187,2013-12-12,2013,12,12,4,50,4,Thursday,December,0,0,0,0,0,0,0
188,2013-12-13,2013,12,13,4,50,5,Friday,December,0,0,0,0,0,0,0
189,2013-12-14,2013,12,14,4,50,6,Saturday,December,1,0,0,0,0,0,0
190,2013-12-15,2013,12,15,4,50,7,Sunday,December,1,0,0,0,0,0,0
191,2013-12-16,2013,12,16,4,51,1,Monday,December,0,0,0,0,0,0,0
192,2013-12-17,2013,12,17,4,51,2,Tuesday,December,0,0,0,0,0,0,0
193,2013-12-18,2013,12,18,4,51,3,Wednesday,December,0,0,0,0,0,0,0
194,2013-12-19,2013,12,19,4,51,4,Thursday,December,0,0,0,0,0,0,0
195,2013-12-20,2013,12,20,4,51,5,Friday,December,0,0,0,0,0,0,0
196,2013-12-21,2013,12,21,4,51,6,Saturday,December,1,0,0,0,0,0,0
197,2013-12-22,2013,12,22,4,51,7,Sunday,December,1,0,0,0,0,0,0
198,2013-12-23,2013,12,23,4,52,1,Monday,December,0,0,0,0,0,0,0
199,2013-12-24,2013,12,24,4,52,2,Tuesday,December,0,0,0,0,0,0,0
200,2013-12-25,2013,12,25,4,52,3,Wednesday,December,0,0,0,0,0,0,0
201,2013-12-26,2013,12,26,4,52,4,Thursday,December,0,0,0,0,0,0,0
202,2013-12-27,2013,12,27,4,52,5,Friday,December,0,0,0,0,0,0,0
203,2013-12-28,2013,12,28,4,52,6,Saturday,December,1,0,0,0,0,0,0
204,2013-12-29,2013,12,29,4,52,7,Sunday,December,1,0,0,0,0,0,0
205,2013-12-30,2013,12,30,4,1,1,Monday,December,0,0,0,0,0,0,0
206,2013-12-31,2013,12,31,4,1,2,Tuesday,December,0,0,1,0,1,0,1
207,2014-01-01,2014,1,1,1,1,3,Wednesday,January,0,1,0,1,0,1,0
208,2014-01-02,2014,1,2,1,1,4,Thursday,January,0,0,0,0,0,0,0
209,2014-01-03,2014,1,3,1,1,5,Friday,January,0,0,0,0,0,0,0
210,2014-01-04,2014,1,4,1,1,6,Saturday,January,1,0,0,0,0,0,0
211,2014-01-05,2014,1,5,1,1,7,Sunday,January,1,0,0,0,0,0,0
212,2014-01-06,2014,1,6,1,2,1,Monday,January,0,0,0,0,0,0,0
213,2014-01-07,2014,1,7,1,2,2,Tuesday,January,0,0,0,0,0,0,0
214,2014-01-08,2014,1,8,1,2,3,Wednesday,January,0,0,0,0,0,0,0
215,2014-01-09,2014,1,9,1,2,4,Thursday,January,0,0,0,0,0,0,0
216,2014-01-10,2014,1,10,1,2,5,Friday,January,0,0,0,0,0,0,0
217,2014-01-11,2014,1,11,1,2,6,Saturday,January,1,0,0,0,0,0,0
218,2014-01-12,2014,1,12,1,2,7,Sunday,January,1,0,0,0,0,0,0
219,2014-01-13,2014,1,13,1,3,1,Monday,January,0,0,0,0,0,0,0
220,2014-01-14,2014,1,14,1,3,2,Tuesday,January,0,0,0,0,0,0,0
221,2014-01-15,2014,1,15,1,3,3,Wednesday,January,0,0,0,0,0,0,0
222,2014-01-16,2014,1,16,1,3,4,Thursday,January,0,0,0,0,0,0,0
223,2014-01-17,2014,1,17,1,3,5,Friday,January,0,0,0,0,0,0,0
224,2014-01-18,2014,1,18,1,3,6,Saturday,January,1,0,0,0,0,0,0
225,2014-01-19,2014,1,19,1,3,7,Sunday,January,1,0,0,0,0,0,0
226,2014-01-20,2014,1,20,1,4,1,Monday,January,0,0,0,0,0,0,0
227,2014-01-21,2014,1,21,1,4,2,Tuesday,January,0,0,0,0,0,0,0
228,2014-01-22,2014,1,22,1,4,3,Wednesday,January,0,0,0,0,0,0,0
229,2014-01-23,2014,1,23,1,4,4,Thursday,January,0,0,0,0,0,0,0
